line,trial_id,serotype,assay,csv_value,old_lower,old_upper,new_lower,new_upper,old_participants,new_participants,group,schedule,month
4304,EudraCT 2012-005366-35,19F,GMC,7.65,0,0,6.22,9.4,,45,PCV13,3+1,1
4305,EudraCT 2012-005367-27,14,GMC,1.92,0,0,1.39,2.65,,49,PCV13,2+1,0
4306,EudraCT 2012-005366-35,19F,GMC,1.9,0,0,1.34,2.7,,48,PHiD-CV,3+1,12
4307,EudraCT 2012-005366-35,14,GMC,0.93,0,0,0.67,1.29,,45,PCV13,3+1,12
4308,EudraCT 2012-005367-27,19A,GMC,9.45,0,0,6.8,13.15,,38,PHiD-CV,2+1,1
4309,EudraCT 2012-005367-27,9V,GMC,2.11,0,0,1.69,2.63,,38,PHiD-CV,2+1,1
4310,EudraCT 2012-005367-27,14,GMC,0.94,0,0,0.69,1.28,,38,PHiD-CV,2+1,12
4311,EudraCT 2012-005366-35,3,GMC,0.23,0,0,0.17,0.31,,47,PHiD-CV,3+1,12
4312,EudraCT 2012-005367-27,6A,GMC,4.6,0,0,2.87,7.37,,37,PHiD-CV,2+1,1
4313,EudraCT 2012-005367-27,23F,GMC,5.01,0,0,3.56,7.04,,38,PHiD-CV,2+1,1
4314,EudraCT 2012-005366-35,19F,GMC,0.73,0,0,0.59,0.9,,45,PCV13,3+1,0
4315,EudraCT 2012-005367-27,9V,GMC,0.37,0,0,0.29,0.48,,49,PCV13,2+1,12
4316,EudraCT 2012-005366-35,23F,GMC,0.37,0,0,0.27,0.53,,45,PCV13,3+1,12
4317,EudraCT 2012-005366-35,7F,GMC,0.68,0,0,0.54,0.85,,51,PHiD-CV,3+1,0
4318,EudraCT 2012-005366-35,6A,GMC,0.9,0,0,0.64,1.26,,48,PHiD-CV,3+1,12
4319,EudraCT 2012-005367-27,3,GMC,0.25,0,0,0.19,0.33,,47,PCV13,2+1,12
4320,EudraCT 2012-005367-27,9V,GMC,0.29,0,0,0.23,0.38,,49,PCV13,2+1,0
4321,EudraCT 2012-005367-27,5,GMC,1.65,0,0,1.34,2.03,,49,PCV13,2+1,1
4322,EudraCT 2012-005366-35,14,GMC,1.91,0,0,1.46,2.49,,45,PCV13,3+1,0
